,Latitude,Longitude,X,Y,Restaurants_nearby,closest_punjabi_restro
472,28.625769068680967,77.22445219377832,7115146.987048123,5500142.624112528,1,205.36026898438584
473,28.625384931600713,77.22492706885876,7115246.987048123,5500142.624112528,1,159.16138462699791
474,28.625000797467788,77.22540193464953,7115346.987048123,5500142.624112528,1,168.7952980252324
475,28.62461666628224,77.22587679115087,7115446.987048123,5500142.624112528,1,227.26935322315427
476,28.62423253804417,77.22635163836296,7115546.987048123,5500142.624112528,0,307.913730115295
477,28.62384841275365,77.22682647628602,7115646.987048123,5500142.624112528,0,397.45486721457894
478,28.62346429041076,77.22730130492029,7115746.987048123,5500142.624112528,0,491.04977115522865
479,28.62308017101558,77.22777612426597,7115846.987048123,5500142.624112528,0,586.7617779223918
480,28.6226960545682,77.2282509343233,7115946.987048123,5500142.624112528,0,582.1596454038324
481,28.622311941068684,77.22872573509244,7116046.987048123,5500142.624112528,0,490.65532183768613
482,28.621927830517123,77.22920052657368,7116146.987048123,5500142.624112528,0,403.2064445895808
483,28.6215437229136,77.22967530876717,7116246.987048123,5500142.624112528,0,323.12262234250653
484,28.62115961825819,77.23015008167316,7116346.987048123,5500142.624112528,0,257.3733109326325
485,28.62077551655097,77.23062484529184,7116446.987048123,5500142.624112528,1,219.25741330991048
486,28.630165607468605,77.21984253497965,7114096.987048123,5500229.226652906,5,91.48436787704075
487,28.629781433688645,77.2203175033279,7114196.987048123,5500229.226652906,6,40.488062065501666
488,28.629397262855235,77.22079246238422,7114296.987048123,5500229.226652906,3,112.59400253217305
489,28.629013094968457,77.2212674121488,7114396.987048123,5500229.226652906,3,177.85807936165583
490,28.628628930028373,77.22174235262187,7114496.987048123,5500229.226652906,2,188.91549496242527
491,28.6282447680351,77.22221728380364,7114596.987048123,5500229.226652906,1,146.71936334251035
492,28.627860608988684,77.22269220569434,7114696.987048123,5500229.226652906,1,165.42091440433103
493,28.627476452889226,77.22316711829417,7114796.987048123,5500229.226652906,1,230.6546905334866
494,28.6270922997368,77.22364202160335,7114896.987048123,5500229.226652906,0,314.70477214022657
495,28.626708149531478,77.2241169156221,7114996.987048123,5500229.226652906,0,292.4210269861534
496,28.626324002273364,77.22459180035061,7115096.987048123,5500229.226652906,1,196.6457812989653
497,28.62593985796251,77.22506667578914,7115196.987048123,5500229.226652906,1,108.7615262017058
498,28.62555571659902,77.22554154193786,7115296.987048123,5500229.226652906,1,70.62985106007369
499,28.625171578182957,77.226016398797,7115396.987048123,5500229.226652906,1,134.7148178182788
